stoptime,TotalRent_R
2018-08-31,164.0
2018-09-01,95.0
2018-09-02,74.0
2018-09-03,97.0
2018-09-04,221.0
2018-09-05,272.0
2018-09-06,267.0
2018-09-07,283.0
2018-09-08,107.0
2018-09-09,36.0
2018-09-10,126.0
2018-09-11,225.0
2018-09-12,217.0
2018-09-13,254.0
2018-09-14,258.0
2018-09-15,124.0
2018-09-16,109.0
2018-09-17,245.0
2018-09-18,234.0
2018-09-19,236.0
2018-09-20,286.0
2018-09-21,254.0
2018-09-22,125.0
2018-09-23,98.0
2018-09-24,284.0
2018-09-25,76.0
2018-09-26,231.0
2018-09-27,252.0
2018-09-28,178.0
2018-09-29,117.0
2018-09-30,122.0
2018-10-01,274.0
2018-10-02,272.0
2018-10-03,293.0
2018-10-04,289.0
2018-10-05,267.0
2018-10-06,104.0
2018-10-07,98.0
2018-10-08,222.0
2018-10-09,279.0
2018-10-10,250.0
2018-10-11,222.0
2018-10-12,214.0
2018-10-13,102.0
2018-10-14,96.0
2018-10-15,217.0
2018-10-16,281.0
2018-10-17,247.0
2018-10-18,244.0
2018-10-19,239.0
2018-10-20,107.0
2018-10-21,78.0
2018-10-22,191.0
2018-10-23,252.0
2018-10-24,251.0
2018-10-25,203.0
2018-10-26,198.0
2018-10-27,24.0
2018-10-28,80.0
2018-10-29,170.0
2018-10-30,215.0
2018-10-31,177.0
2018-11-01,213.0
2018-11-02,187.0
2018-11-03,80.0
2018-11-04,88.0
2018-11-05,114.0
2018-11-06,214.0
2018-11-07,222.0
2018-11-08,200.0
2018-11-09,139.0
2018-11-10,82.0
2018-11-11,72.0
2018-11-12,148.0
2018-11-13,85.0
2018-11-14,158.0
2018-11-15,106.0
2018-11-16,65.0
2018-11-17,75.0
2018-11-18,51.0
2018-11-19,156.0
2018-11-20,208.0
2018-11-21,124.0
2018-11-22,29.0
2018-11-23,31.0
2018-11-24,37.0
2018-11-25,62.0
2018-11-26,119.0
2018-11-27,214.0
2018-11-28,181.0
2018-11-29,180.0
2018-11-30,168.0
2018-12-01,87.0
2018-12-02,39.0
2018-12-03,191.0
2018-12-04,196.0
2018-12-05,173.0
2018-12-06,179.0
2018-12-07,141.0
2018-12-08,52.0
2018-12-09,44.0
2018-12-10,155.0
2018-12-11,182.0
2018-12-12,193.0
2018-12-13,155.0
2018-12-14,153.0
2018-12-15,76.0
2018-12-16,23.0
2018-12-17,155.0
2018-12-18,146.0
2018-12-19,162.0
2018-12-20,135.0
2018-12-21,61.0
2018-12-22,44.0
2018-12-23,40.0
2018-12-24,49.0
2018-12-25,29.0
2018-12-26,51.0
2018-12-27,92.0
2018-12-28,35.0
2018-12-29,46.0
2018-12-30,53.0
2018-12-31,50.0
2019-01-01,46.0
2019-01-02,110.0
2019-01-03,108.0
2019-01-04,137.0
2019-01-05,40.0
2019-01-06,60.0
2019-01-07,94.0
2019-01-08,145.0
2019-01-09,135.0
2019-01-10,139.0
2019-01-11,132.0
2019-01-12,46.0
2019-01-13,47.0
2019-01-14,118.0
2019-01-15,171.0
2019-01-16,151.0
2019-01-17,117.0
2019-01-18,99.0
2019-01-19,53.0
2019-01-20,28.0
2019-01-21,37.0
2019-01-22,114.0
2019-01-23,135.0
2019-01-24,56.0
2019-01-25,130.0
2019-01-26,51.0
2019-01-27,74.0
2019-01-28,100.0
2019-01-29,153.0
2019-01-30,93.0
2019-01-31,67.0
2019-02-01,96.0
2019-02-02,56.0
2019-02-03,51.0
2019-02-04,134.0
2019-02-05,163.0
2019-02-06,164.0
2019-02-07,145.0
2019-02-08,115.0
2019-02-09,55.0
2019-02-10,39.0
2019-02-11,131.0
2019-02-12,88.0
2019-02-13,99.0
2019-02-14,128.0
2019-02-15,140.0
2019-02-16,48.0
2019-02-17,53.0
2019-02-18,60.0
2019-02-19,119.0
2019-02-20,105.0
2019-02-21,99.0
2019-02-22,129.0
2019-02-23,58.0
2019-02-24,44.0
2019-02-25,76.0
2019-02-26,136.0
2019-02-27,109.0
2019-02-28,134.0
2019-03-01,88.0
2019-03-02,38.0
2019-03-03,51.0
2019-03-04,74.0
2019-03-05,142.0
2019-03-06,113.0
2019-03-07,113.0
2019-03-08,136.0
2019-03-09,77.0
2019-03-10,35.0
2019-03-11,153.0
2019-03-12,171.0
2019-03-13,136.0
2019-03-14,149.0
2019-03-15,170.0
2019-03-16,68.0
2019-03-17,56.0
2019-03-18,101.0
2019-03-19,179.0
2019-03-20,177.0
2019-03-21,92.0
2019-03-22,72.0
2019-03-23,57.0
2019-03-24,74.0
2019-03-25,159.0
2019-03-26,145.0
2019-03-27,171.0
2019-03-28,165.0
2019-03-29,173.0
2019-03-30,95.0
2019-03-31,56.0
2019-04-01,130.0
2019-04-02,190.0
2019-04-03,155.0
2019-04-04,145.0
2019-04-05,138.0
2019-04-06,89.0
2019-04-07,85.0
2019-04-08,179.0
2019-04-09,193.0
2019-04-10,231.0
2019-04-11,153.0
2019-04-12,172.0
2019-04-13,117.0
2019-04-14,68.0
2019-04-15,135.0
2019-04-16,202.0
2019-04-17,181.0
2019-04-18,186.0
2019-04-19,160.0
2019-04-20,48.0
2019-04-21,81.0
2019-04-22,158.0
2019-04-23,217.0
2019-04-24,240.0
2019-04-25,207.0
2019-04-26,154.0
2019-04-27,80.0
2019-04-28,73.0
2019-04-29,204.0
2019-04-30,206.0
2019-05-01,216.0
2019-05-02,224.0
2019-05-03,197.0
2019-05-04,92.0
2019-05-05,30.0
2019-05-06,202.0
2019-05-07,240.0
2019-05-08,233.0
2019-05-09,239.0
2019-05-10,229.0
2019-05-11,101.0
2019-05-12,18.0
2019-05-13,92.0
2019-05-14,167.0
2019-05-15,225.0
2019-05-16,239.0
2019-05-17,205.0
2019-05-18,117.0
2019-05-19,101.0
2019-05-20,191.0
2019-05-21,251.0
2019-05-22,235.0
2019-05-23,130.0
2019-05-24,211.0
2019-05-25,101.0
2019-05-26,67.0
2019-05-27,76.0
2019-05-28,211.0
2019-05-29,205.0
2019-05-30,200.0
2019-05-31,239.0
2019-06-01,100.0
2019-06-02,87.0
2019-06-03,212.0
2019-06-04,248.0
2019-06-05,241.0
2019-06-06,222.0
2019-06-07,246.0
2019-06-08,97.0
2019-06-09,118.0
2019-06-10,159.0
2019-06-11,232.0
2019-06-12,258.0
2019-06-13,111.0
2019-06-14,238.0
2019-06-15,100.0
2019-06-16,76.0
2019-06-17,224.0
2019-06-18,146.0
2019-06-19,199.0
2019-06-20,151.0
2019-06-21,133.0
2019-06-22,130.0
2019-06-23,102.0
2019-06-24,231.0
2019-06-25,189.0
2019-06-26,243.0
2019-06-27,252.0
2019-06-28,238.0
2019-06-29,129.0
2019-06-30,115.0
2019-07-01,245.0
2019-07-02,272.0
2019-07-03,243.0
2019-07-04,104.0
2019-07-05,145.0
2019-07-06,91.0
2019-07-07,86.0
2019-07-08,201.0
2019-07-09,263.0
2019-07-10,277.0
2019-07-11,235.0
2019-07-12,283.0
2019-07-13,137.0
2019-07-14,90.0
2019-07-15,256.0
2019-07-16,286.0
2019-07-17,244.0
2019-07-18,161.0
2019-07-19,269.0
2019-07-20,91.0
2019-07-21,68.0
2019-07-22,230.0
2019-07-23,199.0
2019-07-24,263.0
2019-07-25,289.0
2019-07-26,268.0
2019-07-27,124.0
2019-07-28,95.0
2019-07-29,230.0
2019-07-30,265.0
2019-07-31,261.0
2019-08-01,284.0
2019-08-02,256.0
2019-08-03,128.0
2019-08-04,113.0
2019-08-05,231.0
2019-08-06,272.0
2019-08-07,222.0
2019-08-08,278.0
2019-08-09,284.0
2019-08-10,127.0
2019-08-11,105.0
2019-08-12,253.0
2019-08-13,266.0
2019-08-14,275.0
2019-08-15,278.0
2019-08-16,314.0
2019-08-17,131.0
2019-08-18,93.0
2019-08-19,248.0
2019-08-20,262.0
2019-08-21,249.0
2019-08-22,258.0
2019-08-23,190.0
2019-08-24,124.0
2019-08-25,120.0
2019-08-26,241.0
2019-08-27,238.0
2019-08-28,242.0
2019-08-29,273.0
2019-08-30,210.0
2019-08-31,116.0
2019-09-01,97.0
2019-09-02,51.0
2019-09-03,288.0
2019-09-04,269.0
2019-09-05,271.0
2019-09-06,207.0
2019-09-07,118.0
2019-09-08,94.0
2019-09-09,254.0
2019-09-10,265.0
2019-09-11,285.0
2019-09-12,246.0
2019-09-13,267.0
2019-09-14,134.0
2019-09-15,113.0
2019-09-16,202.0
2019-09-17,241.0
2019-09-18,278.0
2019-09-19,270.0
2019-09-20,272.0
2019-09-21,173.0
2019-09-22,139.0
2019-09-23,246.0
2019-09-24,309.0
2019-09-25,309.0
2019-09-26,303.0
2019-09-27,304.0
2019-09-28,130.0
2019-09-29,147.0
2019-09-30,266.0
2019-10-01,296.0
2019-10-02,306.0
2019-10-03,157.0
2019-10-04,271.0
2019-10-05,144.0
2019-10-06,118.0
2019-10-07,268.0
2019-10-08,279.0
2019-10-09,241.0
2019-10-10,294.0
2019-10-11,287.0
2019-10-12,122.0
2019-10-13,104.0
2019-10-14,228.0
2019-10-15,293.0
2019-10-16,249.0
2019-10-17,244.0
2019-10-18,263.0
2019-10-19,108.0
2019-10-20,61.0
2019-10-21,251.0
2019-10-22,236.0
2019-10-23,259.0
2019-10-24,302.0
2019-10-25,286.0
2019-10-26,129.0
2019-10-27,53.0
2019-10-28,283.0
2019-10-29,246.0
2019-10-30,233.0
2019-10-31,165.0
2019-11-01,244.0
2019-11-02,116.0
2019-11-03,84.0
2019-11-04,220.0
2019-11-05,260.0
2019-11-06,256.0
2019-11-07,241.0
2019-11-08,219.0
2019-11-09,85.0
2019-11-10,63.0
2019-11-11,206.0
2019-11-12,154.0
2019-11-13,193.0
2019-11-14,250.0
2019-11-15,220.0
2019-11-16,94.0
2019-11-17,53.0
2019-11-18,171.0
2019-11-19,232.0
2019-11-20,246.0
2019-11-21,240.0
2019-11-22,230.0
2019-11-23,88.0
2019-11-24,32.0
2019-11-25,218.0
2019-11-26,253.0
2019-11-27,199.0
2019-11-28,42.0
2019-11-29,81.0
2019-11-30,64.0
2019-12-01,29.0
2019-12-02,86.0
2019-12-03,112.0
2019-12-04,152.0
2019-12-05,189.0
2019-12-06,218.0
2019-12-07,74.0
2019-12-08,63.0
2019-12-09,52.0
2019-12-10,145.0
2019-12-11,111.0
2019-12-12,172.0
2019-12-13,172.0
2019-12-14,69.0
2019-12-15,51.0
2019-12-16,148.0
2019-12-17,52.0
2019-12-18,152.0
2019-12-19,96.0
2019-12-20,123.0
2019-12-21,59.0
2019-12-22,58.0
2019-12-23,125.0
2019-12-24,83.0
2019-12-25,23.0
2019-12-26,69.0
2019-12-27,109.0
2019-12-28,52.0
2019-12-29,43.0
2019-12-30,45.0
2019-12-31,101.0
2020-01-01,34.0
2020-01-02,131.0
2020-01-03,97.0
2020-01-04,75.0
2020-01-05,57.0
2020-01-06,90.0
2020-01-07,155.0
2020-01-08,149.0
2020-01-09,157.0
2020-01-10,191.0
2020-01-11,120.0
2020-01-12,73.0
2020-01-13,157.0
2020-01-14,145.0
2020-01-15,151.0
2020-01-16,171.0
2020-01-17,136.0
2020-01-18,39.0
2020-01-19,47.0
2020-01-20,85.0
2020-01-21,121.0
2020-01-22,148.0
2020-01-23,151.0
2020-01-24,110.0
2020-01-25,47.0
2020-01-26,49.0
2020-01-27,76.0
2020-01-28,140.0
2020-01-29,146.0
2020-01-30,138.0
2020-01-31,162.0
2020-02-01,60.0
2020-02-02,43.0
2020-02-03,134.0
2020-02-04,157.0
2020-02-05,150.0
2020-02-06,112.0
2020-02-07,108.0
2020-02-08,59.0
2020-02-09,53.0
2020-02-10,90.0
2020-02-11,120.0
2020-02-12,168.0
2020-02-13,123.0
2020-02-14,133.0
2020-02-15,49.0
2020-02-16,49.0
2020-02-17,101.0
2020-02-18,84.0
2020-02-19,156.0
2020-02-20,156.0
2020-02-21,130.0
2020-02-22,70.0
2020-02-23,72.0
2020-02-24,142.0
2020-02-25,122.0
2020-02-26,144.0
2020-02-27,134.0
2020-02-28,137.0
2020-02-29,53.0
2020-03-01,44.0
2020-03-02,78.0
2020-03-03,88.0
2020-03-04,102.0
2020-03-05,85.0
2020-03-06,73.0
2020-03-07,78.0
2020-03-08,56.0
2020-03-09,151.0
2020-03-10,149.0
2020-03-11,132.0
2020-03-12,128.0
2020-03-13,63.0
2020-03-14,51.0
2020-03-15,32.0
2020-03-16,35.0
2020-03-17,34.0
2020-03-18,43.0
2020-03-19,23.0
2020-03-20,29.0
2020-03-21,30.0
2020-03-22,11.0
2020-03-23,5.0
2020-03-24,28.0
2020-03-25,14.0
2020-03-26,11.0
2020-03-27,23.0
2020-03-28,8.0
2020-03-29,10.0
2020-03-30,16.0
2020-03-31,13.0
2020-04-01,16.0
2020-04-02,18.0
2020-04-03,9.0
2020-04-04,17.0
2020-04-05,25.0
2020-04-06,21.0
2020-04-07,21.0
2020-04-08,22.0
2020-04-09,13.0
2020-04-10,13.0
2020-04-11,15.0
2020-04-12,9.0
2020-04-13,4.0
2020-04-14,21.0
2020-04-15,13.0
2020-04-16,5.0
2020-04-17,10.0
2020-04-18,5.0
2020-04-19,27.0
2020-04-20,14.0
2020-04-21,12.0
2020-04-22,14.0
2020-04-23,10.0
2020-04-24,2.0
2020-04-25,30.0
2020-04-26,5.0
2020-04-27,13.0
2020-04-28,15.0
2020-04-29,16.0
2020-04-30,9.0
2020-05-01,21.0
2020-05-02,47.0
2020-05-03,53.0
2020-05-04,27.0
2020-05-05,19.0
2020-05-06,12.0
2020-05-07,22.0
2020-05-08,17.0
2020-05-09,19.0
2020-05-10,33.0
2020-05-11,17.0
2020-05-12,34.0
2020-05-13,22.0
2020-05-14,30.0
2020-05-15,31.0
2020-05-16,67.0
2020-05-17,46.0
2020-05-18,31.0
2020-05-19,30.0
2020-05-20,32.0
2020-05-21,43.0
2020-05-22,36.0
2020-05-23,17.0
2020-05-24,44.0
2020-05-25,63.0
2020-05-26,38.0
2020-05-27,34.0
2020-05-28,27.0
2020-05-29,41.0
2020-05-30,76.0
2020-05-31,79.0
2020-06-01,38.0
2020-06-02,52.0
2020-06-03,42.0
2020-06-04,48.0
2020-06-05,19.0
2020-06-06,79.0
2020-06-07,74.0
2020-06-08,65.0
2020-06-09,64.0
2020-06-10,47.0
2020-06-11,46.0
2020-06-12,90.0
2020-06-13,73.0
2020-06-14,72.0
2020-06-15,74.0
2020-06-16,77.0
2020-06-17,86.0
2020-06-18,85.0
2020-06-19,59.0
2020-06-20,113.0
2020-06-21,80.0
2020-06-22,80.0
2020-06-23,78.0
2020-06-24,87.0
2020-06-25,78.0
2020-06-26,84.0
2020-06-27,62.0
2020-06-28,65.0
2020-06-29,83.0
2020-06-30,73.0
2020-07-01,73.0
2020-07-02,99.0
2020-07-03,61.0
2020-07-04,63.0
2020-07-05,58.0
2020-07-06,52.0
2020-07-07,92.0
2020-07-08,62.0
2020-07-09,90.0
2020-07-10,39.0
2020-07-11,92.0
2020-07-12,67.0
2020-07-13,83.0
2020-07-14,105.0
2020-07-15,101.0
2020-07-16,114.0
2020-07-17,87.0
2020-07-18,101.0
2020-07-19,68.0
2020-07-20,72.0
2020-07-21,97.0
2020-07-22,61.0
2020-07-23,69.0
2020-07-24,89.0
2020-07-25,71.0
2020-07-26,80.0
2020-07-27,81.0
2020-07-28,85.0
2020-07-29,59.0
2020-07-30,100.0
2020-07-31,77.0
2020-08-01,113.0
2020-08-02,83.0
2020-08-03,95.0
2020-08-04,61.0
2020-08-05,91.0
2020-08-06,96.0
2020-08-07,74.0
2020-08-08,106.0
2020-08-09,90.0
2020-08-10,75.0
2020-08-11,92.0
2020-08-12,93.0
2020-08-13,88.0
2020-08-14,135.0
2020-08-15,86.0
2020-08-16,63.0
2020-08-17,92.0
2020-08-18,91.0
2020-08-19,75.0
2020-08-20,85.0
2020-08-21,114.0
2020-08-22,101.0
2020-08-23,88.0
2020-08-24,97.0
2020-08-25,69.0
2020-08-26,113.0
2020-08-27,86.0
2020-08-28,90.0
2020-08-29,85.0
2020-08-30,95.0
2020-08-31,116.0
2020-09-01,84.0
2020-09-02,80.0
2020-09-03,100.0
2020-09-04,117.0
2020-09-05,107.0
2020-09-06,99.0
2020-09-07,78.0
2020-09-08,101.0
2020-09-09,120.0
2020-09-10,78.0
2020-09-11,135.0
2020-09-12,113.0
2020-09-13,101.0
2020-09-14,98.0
2020-09-15,102.0
2020-09-16,99.0
2020-09-17,123.0
2020-09-18,126.0
2020-09-19,111.0
2020-09-20,100.0
2020-09-21,77.0
2020-09-22,101.0
2020-09-23,78.0
2020-09-24,98.0
2020-09-25,115.0
2020-09-26,110.0
2020-09-27,98.0
2020-09-28,76.0
2020-09-29,68.0
2020-09-30,91.0
2020-10-01,216.0
2020-10-02,222.0
2020-10-03,194.0
2020-10-04,206.0
2020-10-05,182.0
2020-10-06,212.0
2020-10-07,186.0
2020-10-08,180.0
2020-10-09,158.0
2020-10-10,134.0
2020-10-11,70.0
2020-10-12,44.0
2020-10-13,76.0
2020-10-14,88.0
2020-10-15,105.0
2020-10-16,58.0
2020-10-17,66.0
2020-10-18,72.0
2020-10-19,80.0
2020-10-20,87.0
2020-10-21,77.0
2020-10-22,84.0
2020-10-23,104.0
2020-10-24,102.0
2020-10-25,54.0
2020-10-26,74.0
2020-10-27,81.0
2020-10-28,71.0
2020-10-29,31.0
2020-10-30,41.0
2020-10-31,22.0
2020-11-01,53.42857142857143
2020-11-02,54.0
2020-11-03,76.0
2020-11-04,62.0
2020-11-05,73.0
2020-11-06,76.0
2020-11-07,84.0
2020-11-08,108.0
2020-11-09,61.0
2020-11-10,80.0
2020-11-11,37.0
2020-11-12,39.0
2020-11-13,52.0
2020-11-14,61.0
2020-11-15,21.0
2020-11-16,43.0
2020-11-17,63.0
2020-11-18,62.0
2020-11-19,53.0
2020-11-20,75.0
2020-11-21,95.0
2020-11-22,49.0
2020-11-23,53.0
2020-11-24,43.0
2020-11-25,68.0
2020-11-26,33.0
2020-11-27,56.0
2020-11-28,50.0
2020-11-29,45.0
2020-11-30,35.0
2020-12-01,49.0
2020-12-02,48.0
2020-12-03,47.0
2020-12-04,43.0
2020-12-05,38.0
2020-12-06,35.0
2020-12-07,12.0
2020-12-08,27.0
2020-12-09,52.0
2020-12-10,40.0
2020-12-11,42.0
2020-12-12,56.0
2020-12-13,40.0
2020-12-14,22.0
2020-12-15,54.0
2020-12-16,35.0
2020-12-17,41.285714285714285
2020-12-18,13.0
2020-12-19,12.0
2020-12-20,8.0
2020-12-21,1.0
2020-12-22,18.0
2020-12-23,42.0
2020-12-24,24.0
2020-12-25,5.0
2020-12-26,20.0
2020-12-27,21.0
2020-12-28,32.0
2020-12-29,42.0
2020-12-30,33.0
2020-12-31,22.0
2021-01-01,2.0
2021-01-02,31.0
2021-01-03,9.0
2021-01-04,38.0
2021-01-05,38.0
2021-01-06,33.0
2021-01-07,46.0
2021-01-08,39.0
2021-01-09,26.0
2021-01-10,33.0
2021-01-11,34.0
2021-01-12,54.0
2021-01-13,44.0
2021-01-14,57.0
2021-01-15,49.0
2021-01-16,37.0
2021-01-17,33.0
2021-01-18,45.0
2021-01-19,45.0
2021-01-20,32.0
2021-01-21,6.0
2021-01-22,37.0
2021-01-23,33.0
2021-01-24,16.0
2021-01-25,43.0
2021-01-26,33.0
2021-01-27,41.0
2021-01-28,25.0
2021-01-29,9.0
2021-01-30,21.0
2021-01-31,20.0
2021-02-01,1.0
2021-02-02,21.428571428571427
2021-02-03,1.0
2021-02-04,4.0
2021-02-05,13.0
2021-02-06,9.0
2021-02-07,5.0
2021-02-08,3.0
2021-02-09,6.0
2021-02-10,13.0
2021-02-11,4.0
2021-02-12,13.0
2021-02-13,15.0
2021-02-14,13.0
2021-02-15,12.0
2021-02-16,18.0
2021-02-17,10.0
2021-02-18,4.0
2021-02-19,5.0
2021-02-20,12.0
2021-02-21,16.0
2021-02-22,13.0
2021-02-23,20.0
2021-02-24,13.0
2021-02-25,6.0
2021-02-26,30.0
2021-02-27,17.0
2021-02-28,22.0
2021-03-01,17.0
2021-03-02,27.0
2021-03-03,39.0
2021-03-04,36.0
2021-03-05,33.0
2021-03-06,24.0
2021-03-07,19.0
2021-03-08,24.0
2021-03-09,51.0
2021-03-10,38.0
2021-03-11,48.0
2021-03-12,74.0
2021-03-13,57.0
2021-03-14,28.0
2021-03-15,31.0
2021-03-16,36.0
2021-03-17,50.0
2021-03-18,26.0
2021-03-19,36.0
2021-03-20,53.0
2021-03-21,53.0
2021-03-22,54.0
2021-03-23,60.0
2021-03-24,40.0
2021-03-25,4.0
2021-03-26,51.0
2021-03-27,62.0
2021-03-28,29.0
2021-03-29,37.0
2021-03-30,54.0
2021-03-31,44.0
2021-04-01,38.0
2021-04-02,34.0
2021-04-03,37.0
2021-04-04,34.0
2021-04-05,64.0
2021-04-06,62.0
2021-04-07,54.0
2021-04-08,46.0
2021-04-09,67.0
2021-04-10,72.0
2021-04-11,31.0
2021-04-12,36.0
2021-04-13,45.0
2021-04-14,60.0
2021-04-15,12.0
2021-04-16,22.0
2021-04-17,9.0
2021-04-18,36.0
2021-04-19,56.0
2021-04-20,54.0
2021-04-21,63.0
2021-04-22,61.0
2021-04-23,30.0
2021-04-24,84.0
2021-04-25,45.0
2021-04-26,71.0
2021-04-27,71.0
2021-04-28,83.0
2021-04-29,66.0
2021-04-30,71.0
2021-05-01,54.0
2021-05-02,90.0
2021-05-03,54.0
2021-05-04,78.0
2021-05-05,57.0
2021-05-06,86.0
2021-05-07,105.0
2021-05-08,40.0
2021-05-09,38.0
2021-05-10,76.0
2021-05-11,92.0
2021-05-12,95.0
2021-05-13,113.0
2021-05-14,115.0
2021-05-15,81.0
2021-05-16,61.0
2021-05-17,70.0
2021-05-18,96.0
2021-05-19,87.0
2021-05-20,109.0
2021-05-21,113.0
2021-05-22,110.0
2021-05-23,79.0
2021-05-24,79.0
2021-05-25,125.0
2021-05-26,110.0
2021-05-27,129.0
2021-05-28,76.0
2021-05-29,33.0
2021-05-30,15.0
2021-05-31,93.0
2021-06-01,97.0
2021-06-02,115.0
2021-06-03,89.0
2021-06-04,101.0
2021-06-05,109.0
2021-06-06,90.0
2021-06-07,122.0
2021-06-08,97.0
2021-06-09,57.0
2021-06-10,87.0
2021-06-11,145.0
2021-06-12,95.0
2021-06-13,104.0
2021-06-14,102.0
2021-06-15,120.0
2021-06-16,129.0
2021-06-17,140.0
2021-06-18,128.0
2021-06-19,114.0
2021-06-20,112.0
2021-06-21,83.0
2021-06-22,83.0
